user_id,product_id,product_name,category,product_description,rating,price
164,15,Keyboard,Electronics,Keyboard for Electronics category with premium quality and smart features,3,252.44
36,14,Perfume,Fashion,Perfume for Fashion category with premium quality and smart features,4,41.46
24,28,Watch,Home,Watch for Home category with premium quality and smart features,5,36.27
51,70,T-Shirt,Groceries,T-Shirt for Groceries category with premium quality and smart features,4,593.37
2,21,Cookware,Groceries,Cookware for Groceries category with premium quality and smart features,3,163.92
196,44,Laptop,Fashion,Laptop for Fashion category with premium quality and smart features,4,105.75
89,78,Camera,Beauty,Camera for Beauty category with premium quality and smart features,1,732.43
138,16,Laptop,Groceries,Laptop for Groceries category with premium quality and smart features,5,300.25
161,80,Perfume,Sports,Perfume for Sports category with premium quality and smart features,2,707.53
12,30,Laptop,Beauty,Laptop for Beauty category with premium quality and smart features,2,867.82
98,36,Gaming Mouse,Toys,Gaming Mouse for Toys category with premium quality and smart features,3,171.03
91,27,Keyboard,Beauty,Keyboard for Beauty category with premium quality and smart features,1,613.04
44,69,Headphones,Home,Headphones for Home category with premium quality and smart features,4,385.66
164,72,Gaming Mouse,Home,Gaming Mouse for Home category with premium quality and smart features,3,844.42
199,8,Blender,Home,Blender for Home category with premium quality and smart features,1,807.0
103,35,T-Shirt,Fashion,T-Shirt for Fashion category with premium quality and smart features,5,877.6
81,28,Novel,Toys,Novel for Toys category with premium quality and smart features,4,151.44
36,32,Keyboard,Beauty,Keyboard for Beauty category with premium quality and smart features,5,434.15
150,52,T-Shirt,Sports,T-Shirt for Sports category with premium quality and smart features,2,514.43
24,7,Headphones,Fashion,Headphones for Fashion category with premium quality and smart features,2,794.16
109,77,Novel,Fashion,Novel for Fashion category with premium quality and smart features,4,599.93
120,68,Watch,Beauty,Watch for Beauty category with premium quality and smart features,1,683.48
30,69,Camera,Beauty,Camera for Beauty category with premium quality and smart features,3,120.44
112,21,Smartphone,Toys,Smartphone for Toys category with premium quality and smart features,3,972.17
196,23,Blender,Fashion,Blender for Fashion category with premium quality and smart features,3,843.25
130,78,Headphones,Home,Headphones for Home category with premium quality and smart features,3,764.89
139,68,Perfume,Electronics,Perfume for Electronics category with premium quality and smart features,3,493.72
29,47,T-Shirt,Beauty,T-Shirt for Beauty category with premium quality and smart features,1,248.46
146,11,Keyboard,Fashion,Keyboard for Fashion category with premium quality and smart features,4,817.86
195,69,Headphones,Books,Headphones for Books category with premium quality and smart features,4,947.38
43,34,T-Shirt,Groceries,T-Shirt for Groceries category with premium quality and smart features,5,757.71
177,26,Novel,Beauty,Novel for Beauty category with premium quality and smart features,3,443.72
133,58,T-Shirt,Fashion,T-Shirt for Fashion category with premium quality and smart features,2,73.39
6,76,Perfume,Home,Perfume for Home category with premium quality and smart features,2,17.12
182,8,Laptop,Home,Laptop for Home category with premium quality and smart features,1,861.04
19,66,Sneakers,Home,Sneakers for Home category with premium quality and smart features,4,222.09
34,74,T-Shirt,Toys,T-Shirt for Toys category with premium quality and smart features,4,809.42
49,13,Gaming Mouse,Fashion,Gaming Mouse for Fashion category with premium quality and smart features,4,360.75
106,60,Gaming Mouse,Electronics,Gaming Mouse for Electronics category with premium quality and smart features,1,70.01
187,44,T-Shirt,Fashion,T-Shirt for Fashion category with premium quality and smart features,2,198.31
115,18,Headphones,Groceries,Headphones for Groceries category with premium quality and smart features,3,468.0
20,57,Smartphone,Fashion,Smartphone for Fashion category with premium quality and smart features,5,837.67
24,31,Novel,Books,Novel for Books category with premium quality and smart features,4,486.54
103,8,Novel,Books,Novel for Books category with premium quality and smart features,1,985.46
68,59,Novel,Beauty,Novel for Beauty category with premium quality and smart features,5,665.25
125,20,Sneakers,Home,Sneakers for Home category with premium quality and smart features,2,969.02
149,70,Keyboard,Electronics,Keyboard for Electronics category with premium quality and smart features,3,66.59
150,62,Smartphone,Books,Smartphone for Books category with premium quality and smart features,5,89.31
48,9,Gaming Mouse,Fashion,Gaming Mouse for Fashion category with premium quality and smart features,2,409.74
146,32,Perfume,Electronics,Perfume for Electronics category with premium quality and smart features,1,425.03
150,73,Football,Sports,Football for Sports category with premium quality and smart features,3,212.22
184,41,Sneakers,Home,Sneakers for Home category with premium quality and smart features,4,139.57
166,39,Cookware,Toys,Cookware for Toys category with premium quality and smart features,1,19.22
160,73,Laptop,Fashion,Laptop for Fashion category with premium quality and smart features,5,221.02
68,17,Football,Sports,Football for Sports category with premium quality and smart features,1,880.48
95,37,Backpack,Books,Backpack for Books category with premium quality and smart features,5,706.5
157,68,Gaming Mouse,Electronics,Gaming Mouse for Electronics category with premium quality and smart features,5,306.38
170,14,Sneakers,Books,Sneakers for Books category with premium quality and smart features,1,890.82
191,71,Sneakers,Books,Sneakers for Books category with premium quality and smart features,3,608.78
184,44,Gaming Mouse,Home,Gaming Mouse for Home category with premium quality and smart features,3,510.35
65,7,Gaming Mouse,Fashion,Gaming Mouse for Fashion category with premium quality and smart features,4,831.05
12,1,Camera,Sports,Camera for Sports category with premium quality and smart features,2,640.74
68,21,Watch,Toys,Watch for Toys category with premium quality and smart features,4,565.3
29,10,Watch,Books,Watch for Books category with premium quality and smart features,1,836.25
150,71,Novel,Books,Novel for Books category with premium quality and smart features,2,51.41
94,6,T-Shirt,Sports,T-Shirt for Sports category with premium quality and smart features,2,670.26
91,72,Perfume,Groceries,Perfume for Groceries category with premium quality and smart features,2,926.51
61,21,Football,Books,Football for Books category with premium quality and smart features,4,34.54
189,43,Camera,Groceries,Camera for Groceries category with premium quality and smart features,2,274.14
180,14,Blender,Groceries,Blender for Groceries category with premium quality and smart features,1,860.01
57,26,Cookware,Toys,Cookware for Toys category with premium quality and smart features,3,822.33
59,29,Gaming Mouse,Electronics,Gaming Mouse for Electronics category with premium quality and smart features,2,404.48
72,9,Cookware,Beauty,Cookware for Beauty category with premium quality and smart features,5,405.68
138,43,Laptop,Electronics,Laptop for Electronics category with premium quality and smart features,3,186.78
68,5,Perfume,Fashion,Perfume for Fashion category with premium quality and smart features,4,352.23
81,56,Novel,Fashion,Novel for Fashion category with premium quality and smart features,5,198.18
12,56,Watch,Electronics,Watch for Electronics category with premium quality and smart features,5,689.99
190,26,Novel,Sports,Novel for Sports category with premium quality and smart features,1,949.39
85,80,Gaming Mouse,Sports,Gaming Mouse for Sports category with premium quality and smart features,1,722.56
77,65,Gaming Mouse,Beauty,Gaming Mouse for Beauty category with premium quality and smart features,4,332.92
179,38,T-Shirt,Books,T-Shirt for Books category with premium quality and smart features,4,668.28
98,23,Novel,Beauty,Novel for Beauty category with premium quality and smart features,5,835.39
78,37,Novel,Home,Novel for Home category with premium quality and smart features,5,610.59
83,60,Backpack,Toys,Backpack for Toys category with premium quality and smart features,2,516.06
189,22,Sneakers,Fashion,Sneakers for Fashion category with premium quality and smart features,5,667.22
159,43,Blender,Fashion,Blender for Fashion category with premium quality and smart features,2,676.07
58,26,Smartphone,Books,Smartphone for Books category with premium quality and smart features,1,252.39
122,79,Backpack,Fashion,Backpack for Fashion category with premium quality and smart features,4,887.28
148,25,Backpack,Groceries,Backpack for Groceries category with premium quality and smart features,4,251.54
168,1,Camera,Fashion,Camera for Fashion category with premium quality and smart features,4,226.65
179,67,Smartphone,Toys,Smartphone for Toys category with premium quality and smart features,5,256.71
32,59,Camera,Books,Camera for Books category with premium quality and smart features,4,670.9
144,77,Camera,Sports,Camera for Sports category with premium quality and smart features,4,616.53
185,65,Blender,Groceries,Blender for Groceries category with premium quality and smart features,5,451.45
41,61,Sneakers,Toys,Sneakers for Toys category with premium quality and smart features,2,841.46
71,67,Gaming Mouse,Toys,Gaming Mouse for Toys category with premium quality and smart features,2,281.85
20,37,Sneakers,Home,Sneakers for Home category with premium quality and smart features,3,326.51
139,11,Headphones,Books,Headphones for Books category with premium quality and smart features,2,389.2
40,28,Novel,Fashion,Novel for Fashion category with premium quality and smart features,4,337.57
120,54,T-Shirt,Electronics,T-Shirt for Electronics category with premium quality and smart features,4,395.58
198,75,Blender,Electronics,Blender for Electronics category with premium quality and smart features,5,386.58
2,46,Camera,Beauty,Camera for Beauty category with premium quality and smart features,4,854.91
108,69,Backpack,Home,Backpack for Home category with premium quality and smart features,2,280.21
125,4,Cookware,Groceries,Cookware for Groceries category with premium quality and smart features,4,726.94
120,17,Football,Electronics,Football for Electronics category with premium quality and smart features,4,595.97
170,4,Gaming Mouse,Fashion,Gaming Mouse for Fashion category with premium quality and smart features,4,144.34
119,24,Sneakers,Electronics,Sneakers for Electronics category with premium quality and smart features,4,334.08
117,42,Camera,Sports,Camera for Sports category with premium quality and smart features,4,285.47
108,33,Backpack,Fashion,Backpack for Fashion category with premium quality and smart features,1,751.53
14,45,Gaming Mouse,Home,Gaming Mouse for Home category with premium quality and smart features,1,783.42
167,6,T-Shirt,Electronics,T-Shirt for Electronics category with premium quality and smart features,2,840.84
160,20,Headphones,Home,Headphones for Home category with premium quality and smart features,4,672.76
145,28,Keyboard,Toys,Keyboard for Toys category with premium quality and smart features,3,769.23
43,78,Camera,Fashion,Camera for Fashion category with premium quality and smart features,2,965.07
28,75,Football,Electronics,Football for Electronics category with premium quality and smart features,3,580.04
97,51,Laptop,Home,Laptop for Home category with premium quality and smart features,5,693.71
161,32,Keyboard,Fashion,Keyboard for Fashion category with premium quality and smart features,3,851.79
154,16,Cookware,Electronics,Cookware for Electronics category with premium quality and smart features,5,434.09
95,9,Smartphone,Sports,Smartphone for Sports category with premium quality and smart features,4,824.11
28,56,Gaming Mouse,Sports,Gaming Mouse for Sports category with premium quality and smart features,4,710.24
112,23,Perfume,Beauty,Perfume for Beauty category with premium quality and smart features,5,776.9
120,56,Cookware,Beauty,Cookware for Beauty category with premium quality and smart features,2,832.42
23,36,T-Shirt,Toys,T-Shirt for Toys category with premium quality and smart features,4,574.15
172,49,Smartphone,Sports,Smartphone for Sports category with premium quality and smart features,4,852.44
47,63,Cookware,Home,Cookware for Home category with premium quality and smart features,3,346.94
153,36,Watch,Electronics,Watch for Electronics category with premium quality and smart features,2,94.76
185,53,Watch,Toys,Watch for Toys category with premium quality and smart features,2,693.7
166,63,Camera,Toys,Camera for Toys category with premium quality and smart features,1,102.12
57,52,Sneakers,Home,Sneakers for Home category with premium quality and smart features,5,375.33
142,68,Novel,Sports,Novel for Sports category with premium quality and smart features,5,337.48
180,59,Sneakers,Beauty,Sneakers for Beauty category with premium quality and smart features,3,238.23
185,25,Laptop,Sports,Laptop for Sports category with premium quality and smart features,5,951.37
177,24,T-Shirt,Home,T-Shirt for Home category with premium quality and smart features,4,283.73
151,68,Laptop,Beauty,Laptop for Beauty category with premium quality and smart features,2,303.28
93,23,Smartphone,Beauty,Smartphone for Beauty category with premium quality and smart features,5,135.32
12,7,Keyboard,Beauty,Keyboard for Beauty category with premium quality and smart features,2,641.49
193,63,Blender,Fashion,Blender for Fashion category with premium quality and smart features,1,578.32
121,62,Cookware,Toys,Cookware for Toys category with premium quality and smart features,2,965.84
65,62,Blender,Fashion,Blender for Fashion category with premium quality and smart features,1,406.7
19,74,Headphones,Electronics,Headphones for Electronics category with premium quality and smart features,2,813.03
78,11,Laptop,Home,Laptop for Home category with premium quality and smart features,5,766.8
156,77,Camera,Home,Camera for Home category with premium quality and smart features,5,386.57
114,39,Sneakers,Groceries,Sneakers for Groceries category with premium quality and smart features,5,624.82
157,13,Gaming Mouse,Home,Gaming Mouse for Home category with premium quality and smart features,2,272.0
21,21,Headphones,Home,Headphones for Home category with premium quality and smart features,5,84.31
1,53,Keyboard,Toys,Keyboard for Toys category with premium quality and smart features,5,475.21
9,30,Keyboard,Beauty,Keyboard for Beauty category with premium quality and smart features,3,705.96
117,10,Football,Home,Football for Home category with premium quality and smart features,3,789.95
161,76,Novel,Home,Novel for Home category with premium quality and smart features,1,549.12
166,20,Blender,Beauty,Blender for Beauty category with premium quality and smart features,2,80.7
43,40,Backpack,Beauty,Backpack for Beauty category with premium quality and smart features,1,474.01
78,52,Watch,Beauty,Watch for Beauty category with premium quality and smart features,5,498.86
21,77,Football,Electronics,Football for Electronics category with premium quality and smart features,4,737.19
155,33,Laptop,Electronics,Laptop for Electronics category with premium quality and smart features,2,962.29
148,76,Camera,Electronics,Camera for Electronics category with premium quality and smart features,3,580.48
196,23,Watch,Toys,Watch for Toys category with premium quality and smart features,4,916.91
47,75,Gaming Mouse,Groceries,Gaming Mouse for Groceries category with premium quality and smart features,4,969.36
121,45,Cookware,Groceries,Cookware for Groceries category with premium quality and smart features,3,673.43
42,43,Keyboard,Groceries,Keyboard for Groceries category with premium quality and smart features,4,295.34
103,71,Backpack,Electronics,Backpack for Electronics category with premium quality and smart features,1,321.37
83,15,Blender,Groceries,Blender for Groceries category with premium quality and smart features,5,826.68
1,70,Novel,Toys,Novel for Toys category with premium quality and smart features,1,195.71
93,80,Gaming Mouse,Toys,Gaming Mouse for Toys category with premium quality and smart features,4,762.39
53,35,Football,Books,Football for Books category with premium quality and smart features,3,443.73
179,63,Smartphone,Fashion,Smartphone for Fashion category with premium quality and smart features,5,801.32
182,21,Watch,Beauty,Watch for Beauty category with premium quality and smart features,1,556.73
24,29,Backpack,Fashion,Backpack for Fashion category with premium quality and smart features,1,651.23
40,64,Watch,Beauty,Watch for Beauty category with premium quality and smart features,3,421.34
124,61,Backpack,Home,Backpack for Home category with premium quality and smart features,5,153.2
49,77,Blender,Books,Blender for Books category with premium quality and smart features,1,283.48
107,44,Blender,Beauty,Blender for Beauty category with premium quality and smart features,1,290.01
77,76,Blender,Toys,Blender for Toys category with premium quality and smart features,2,452.08
